0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
well,-0.207319,0.102938,-0.553564,0.17821,0.146783,-0.078411,-0.417692,1.251061,-0.754466,-0.215675,0.011789,-0.095774,-0.167809,-0.233508,0.289196,-0.808551,1.105273,0.754616,-0.102656,0.02495
cours,-0.096049,0.185734,-0.682653,-0.056224,-0.073476,-0.091142,-0.205025,0.956136,-1.10636,-0.034081,-0.354162,0.205277,0.376138,-0.315411,0.345696,-0.768933,0.651116,0.465233,-0.502601,-0.068057
complet,-1.429248,0.18717,-1.131017,-0.011181,0.359712,1.004788,-0.317922,1.433764,-0.512476,-0.372662,-0.441319,0.638859,-0.210079,0.012359,-0.433904,0.104215,0.765779,0.288867,0.00378,0.556195
connect,0.394848,-0.628244,0.598876,1.025783,-0.366233,-1.667797,-0.19903,-0.826692,-0.491256,-0.833645,-0.865316,-0.128712,0.420754,-0.561945,-0.772771,-0.008048,1.24018,-0.209565,-0.270205,0.661248
rewatch,-0.741109,0.820181,0.625409,1.359219,0.032411,0.42926,-0.618856,1.557125,-0.566774,-0.10814,-0.900037,0.277414,-1.025761,-1.078988,0.648447,-0.138463,-0.840032,-0.082153,1.250439,-0.628404
forc,-0.390281,-0.770801,-0.595149,0.562191,1.315233,0.07145,-0.18006,-0.084343,-0.37612,-0.28785,0.658931,0.254934,1.220533,-0.836758,-0.118577,-0.079033,1.377987,0.360266,-0.468156,1.233231
follow,0.584248,-0.093509,0.219421,0.192002,0.749086,0.50659,-0.108243,0.915692,-0.599756,-1.086204,0.058507,1.087339,-0.327383,-1.264069,-1.230757,-0.180368,0.400578,-0.027261,0.520222,0.00065
immedi,0.54552,0.155154,0.710072,-0.170203,-1.066025,-1.272545,-1.206165,0.32957,0.376751,-0.220442,1.082371,-0.192167,-0.5213,-0.059313,-0.802236,0.27622,2.314336,1.330705,0.992839,0.179659
possibl,-0.21593,0.008342,0.545676,0.51364,-0.582355,-0.371885,-0.515516,-0.511398,-1.628493,-0.93762,0.4224,0.556475,0.249853,-0.727337,-0.015665,-0.830391,0.376527,0.725575,0.188055,-0.481064
mean,-1.041375,-0.328068,-0.167868,0.44553,-0.072286,0.074978,-0.703684,0.578084,-0.508573,-0.233186,-0.333058,0.453401,-0.148931,-0.555206,0.033757,-0.532707,0.5253,0.356258,0.270779,0.369719
particip,0.030503,0.122928,0.303973,0.366949,0.792779,-0.528177,-0.191892,-0.076806,-1.165702,-0.664877,0.097497,0.234166,1.207117,-0.355627,0.106066,-0.730062,1.525221,0.574011,0.074558,0.742803
hear,0.732355,-0.171989,0.168398,1.31901,-0.81075,-0.068087,-0.340621,0.87206,-1.05799,0.270479,0.272831,-0.620262,-1.266461,0.592142,1.491865,-1.384131,0.882638,1.007324,0.086231,1.137068
attend,-0.807268,-0.901011,-0.748512,0.508877,1.218145,-0.112973,-0.894517,-0.120913,-0.708059,-0.105863,0.362125,0.182849,1.417476,-1.796977,0.480408,0.409404,1.1317,0.1152,-0.595659,0.533085
instead,-0.401339,-0.271871,0.025033,-0.200941,-0.481159,0.553401,-1.042319,1.476588,-0.697352,-0.181407,0.610496,0.178405,-0.29879,-0.159489,0.076506,0.607004,0.865003,0.425227,0.11617,-0.196115
feedback,0.500307,0.078942,-0.138847,-0.170567,-0.634413,-0.814667,-0.380581,-0.032953,0.259987,-0.252245,1.0823,-0.33651,-0.043858,0.20284,-1.036297,-0.06787,2.433238,1.020727,0.337351,0.93081
im,-0.81996,-0.210138,0.095291,1.092847,0.405899,0.610943,-0.753319,0.250897,-0.696429,0.057334,-0.163443,1.36662,0.258792,-0.382954,0.405239,-0.648029,-0.108265,0.221978,-0.199005,0.683664
etc,0.530342,0.394481,1.361547,0.472218,0.168055,-0.950337,-0.807926,0.246312,-0.525342,-0.819113,-0.995509,0.17507,-0.275021,-0.736638,-0.275429,-0.458724,0.219555,0.42143,0.764037,-0.157988
focu,0.271611,-0.079398,-0.518893,0.663341,0.916494,0.661721,-0.575801,1.01868,-0.145054,-0.173281,0.428729,0.882647,0.1161,-0.87091,-0.177778,-0.389484,0.534125,0.552536,-0.41768,0.703944
opportun,-0.331455,0.879866,-0.523423,0.218185,-0.222207,-0.381569,0.217816,0.111945,-0.882889,-0.567674,0.570073,-0.943944,0.387676,-0.623038,-0.021469,-1.157251,1.283093,0.808989,1.121276,-0.043092
