0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
engag,0.038453,0.551051,-0.185357,1.465573,0.997603,-0.105134,-0.624983,0.703959,-1.534028,-0.99883,0.971618,0.65819,1.297973,-0.661921,0.213327,-1.574323,2.042916,1.65128,-0.208006,0.567908
closet,0.02205,-0.047803,0.044597,-0.028762,-0.035183,-0.027724,-0.040678,-0.02374,0.093852,0.06085,-0.00447,0.031388,-0.058514,-0.022519,0.022299,0.073615,-0.023525,-0.028483,0.035583,0.003653
uncertainti,-0.034866,-0.074013,-0.015948,-0.005963,0.01984,0.012283,0.075551,-0.074939,0.088091,0.062248,-0.013502,0.052883,-0.014461,0.052334,-0.081259,0.067299,-0.0603,-0.090203,-0.012751,-0.003093
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
interact,0.014921,0.192068,0.324707,1.207708,-0.393563,-0.896499,-0.794907,-0.196054,-2.237307,-1.274679,0.934627,0.433269,0.726649,-0.789657,-0.1775,-1.962556,2.178396,1.520528,-0.152644,0.655068
worker,-0.232174,-0.038654,-0.242672,-0.31584,0.083371,0.380565,0.263451,-0.441707,0.352942,0.395714,-0.030869,-0.158453,0.169416,0.584073,0.094258,0.373233,-0.285987,-0.294965,-0.171521,0.112125
engag,0.038453,0.551051,-0.185357,1.465573,0.997603,-0.105134,-0.624983,0.703959,-1.534028,-0.99883,0.971618,0.65819,1.297973,-0.661921,0.213327,-1.574323,2.042916,1.65128,-0.208006,0.567908
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
nice,-0.200481,-0.79413,0.591962,1.07515,-0.482201,-0.192754,-0.676478,-0.203664,-1.124486,-0.412528,-0.291643,-0.250671,-0.725605,-0.264805,0.495753,-1.132436,0.883714,0.171372,-0.407293,1.588087
commun,0.445959,0.065877,0.539855,0.381705,-0.856292,-0.718383,-0.019578,-0.307096,-0.813722,-0.948233,0.474706,0.347399,-0.19816,0.243853,-0.790691,-1.251063,1.177766,0.554271,0.378569,0.802545
